station,valid, tmpc ,  dwpc ,  drct ,  sknt ,  mslp ,  p01m
CXTO,2010-10-23 00:00,9.70,2.60,M,M,1018.30,M
CXTO,2010-10-23 01:00,9.40,2.80,M,M,1018.20,M
CXTO,2010-10-23 02:00,8.60,2.80,M,M,1018.40,M
CXTO,2010-10-23 03:00,8.40,3.00,M,M,1018.70,M
CXTO,2010-10-23 04:00,8.10,2.70,M,M,1018.50,M
CXTO,2010-10-23 05:00,8.60,2.70,M,M,1018.20,M
CXTO,2010-10-23 06:00,8.70,2.60,M,M,1018.10,M
CXTO,2010-10-23 07:00,8.50,3.40,M,M,1018.40,M
CXTO,2010-10-23 08:00,8.50,2.90,M,M,1018.30,M
CXTO,2010-10-23 09:00,8.40,3.20,M,M,1018.50,M
CXTO,2010-10-23 10:00,8.90,3.20,M,M,1018.30,M
CXTO,2010-10-23 11:00,8.40,3.70,M,M,1018.50,M
CXTO,2010-10-23 12:00,8.90,4.00,M,M,1018.30,M
CXTO,2010-10-23 13:00,9.70,4.50,M,M,1018.20,M
CXTO,2010-10-23 14:00,11.40,5.10,M,M,1018.50,M
CXTO,2010-10-23 15:00,12.20,5.80,M,M,1018.40,M
CXTO,2010-10-23 16:00,13.40,6.70,M,M,1018.30,M
CXTO,2010-10-23 17:00,13.20,6.90,M,M,1018.00,M
CXTO,2010-10-23 18:00,12.00,7.80,M,M,1018.20,M
CXTO,2010-10-23 19:00,11.60,8.10,M,M,1018.60,M
CXTO,2010-10-23 20:00,11.70,8.50,M,M,1019.10,M
CXTO,2010-10-23 21:00,11.30,8.80,M,M,1019.40,M
CXTO,2010-10-23 22:00,10.20,9.20,M,M,1019.50,1.02
CXTO,2010-10-23 23:00,10.40,9.90,M,M,1019.50,0.76
CXTO,2010-10-24 00:00,10.40,10.10,M,M,1019.30,2.54
CXTO,2010-10-24 01:00,10.40,10.20,M,M,1018.30,2.03
CXTO,2010-10-24 02:00,11.00,10.90,M,M,1018.60,M
CXTO,2010-10-24 03:00,11.10,11.00,M,M,1018.90,0.51
CXTO,2010-10-24 04:00,11.10,11.00,M,M,1019.20,M
CXTO,2010-10-24 05:00,10.60,10.50,M,M,1018.50,M
CXTO,2010-10-24 06:00,9.10,9.10,M,M,1018.00,0.76
CXTO,2010-10-24 07:00,8.90,8.90,M,M,1017.60,M
CXTO,2010-10-24 08:00,8.80,8.80,M,M,1016.90,M
CXTO,2010-10-24 09:00,8.30,8.30,M,M,1017.20,M
CXTO,2010-10-24 10:00,8.40,8.40,M,M,1016.90,M
CXTO,2010-10-24 11:00,8.30,8.20,M,M,1017.70,1.02
CXTO,2010-10-24 12:00,8.00,7.90,M,M,1016.80,1.78
CXTO,2010-10-24 13:00,8.10,8.00,M,M,1017.00,1.02
CXTO,2010-10-24 14:00,8.20,8.10,M,M,1017.10,M
CXTO,2010-10-24 15:00,9.10,9.00,M,M,1016.20,M
CXTO,2010-10-24 16:00,10.30,10.20,M,M,1015.50,M
CXTO,2010-10-24 17:00,10.20,10.00,M,M,1015.00,M
CXTO,2010-10-24 18:00,9.80,9.60,M,M,1014.00,M
CXTO,2010-10-24 19:00,10.20,9.80,M,M,1013.60,M
CXTO,2010-10-24 20:00,10.40,9.90,M,M,1013.70,M
CXTO,2010-10-24 21:00,9.30,9.10,M,M,1013.60,M
CXTO,2010-10-24 22:00,9.20,9.20,M,M,1012.60,M
CXTO,2010-10-24 23:00,9.40,9.40,M,M,1012.50,M
CXTO,2010-10-25 00:00,9.60,9.60,M,M,1011.90,M
CXTO,2010-10-25 01:00,10.10,10.10,M,M,1012.00,M
CXTO,2010-10-25 02:00,10.30,10.30,M,M,1012.90,M
CXTO,2010-10-25 03:00,10.10,10.10,M,M,1012.00,M
CXTO,2010-10-25 04:00,9.70,9.70,M,M,1011.00,M
CXTO,2010-10-25 05:00,10.10,10.10,M,M,1010.00,M
CXTO,2010-10-25 06:00,10.10,10.10,M,M,1009.30,M
CXTO,2010-10-25 07:00,10.60,10.60,M,M,1009.00,0.76
CXTO,2010-10-25 08:00,11.10,11.10,M,M,1007.80,M
CXTO,2010-10-25 09:00,11.30,11.30,M,M,1007.50,M
CXTO,2010-10-25 10:00,11.30,11.30,M,M,1007.40,M
CXTO,2010-10-25 11:00,10.90,10.90,M,M,1007.00,M
CXTO,2010-10-25 12:00,11.30,11.30,M,M,1006.50,M
CXTO,2010-10-25 13:00,12.20,12.20,M,M,1006.70,M
CXTO,2010-10-25 14:00,13.60,13.30,M,M,1006.30,M
CXTO,2010-10-25 15:00,15.40,14.30,M,M,1005.40,M
CXTO,2010-10-25 16:00,17.40,15.00,M,M,1005.40,M
CXTO,2010-10-25 17:00,17.70,14.80,M,M,1004.90,M
CXTO,2010-10-25 18:00,18.00,14.60,M,M,1004.30,M
CXTO,2010-10-25 19:00,17.30,14.00,M,M,1003.90,M
CXTO,2010-10-25 20:00,17.60,14.00,M,M,1003.90,M
CXTO,2010-10-25 21:00,17.20,14.40,M,M,1003.70,M
CXTO,2010-10-25 22:00,16.40,14.40,M,M,1003.80,M
CXTO,2010-10-25 23:00,16.20,14.70,M,M,1004.20,M
CXTO,2010-10-26 00:00,16.20,14.80,M,M,1004.60,M
CXTO,2010-10-26 01:00,15.80,14.80,M,M,1005.00,M
CXTO,2010-10-26 02:00,15.70,14.80,M,M,1005.20,M
CXTO,2010-10-26 03:00,15.50,14.60,M,M,1005.20,M
CXTO,2010-10-26 04:00,15.50,14.90,M,M,1005.10,M
CXTO,2010-10-26 05:00,15.40,14.80,M,M,1005.40,M
CXTO,2010-10-26 06:00,14.90,14.50,M,M,1005.60,M
CXTO,2010-10-26 07:00,14.70,14.40,M,M,1005.70,M
CXTO,2010-10-26 08:00,14.50,14.40,M,M,1005.60,M
CXTO,2010-10-26 09:00,14.50,14.40,M,M,1005.20,M
CXTO,2010-10-26 10:00,14.50,14.30,M,M,1005.10,M
CXTO,2010-10-26 11:00,14.10,14.00,M,M,1005.30,M
CXTO,2010-10-26 12:00,14.70,14.50,M,M,1004.90,M
CXTO,2010-10-26 13:00,15.20,14.60,M,M,1004.50,M
CXTO,2010-10-26 14:00,16.10,14.80,M,M,1004.20,M
CXTO,2010-10-26 15:00,16.80,14.80,M,M,1003.50,M
CXTO,2010-10-26 16:00,17.40,14.80,M,M,1002.60,M
CXTO,2010-10-26 17:00,17.40,14.70,M,M,1000.70,M
CXTO,2010-10-26 18:00,18.50,15.30,M,M,999.30,M
CXTO,2010-10-26 19:00,19.40,15.50,M,M,997.70,M
CXTO,2010-10-26 20:00,19.50,15.80,M,M,997.60,M
