station,valid, tmpc ,  dwpc ,  drct ,  sknt ,  mslp ,  p01m
GRB,2010-10-23 00:53,10.00,0.00,200.00,6.00,1014.90,M
GRB,2010-10-23 01:53,8.30,0.00,180.00,4.00,1014.40,M
GRB,2010-10-23 02:53,8.30,1.70,190.00,5.00,1014.00,M
GRB,2010-10-23 03:53,7.80,1.10,0.00,0.00,1014.00,M
GRB,2010-10-23 04:53,6.70,1.70,180.00,4.00,1013.90,M
GRB,2010-10-23 05:53,6.70,1.70,0.00,0.00,1013.80,M
GRB,2010-10-23 06:53,6.70,2.80,0.00,0.00,1013.90,M
GRB,2010-10-23 07:53,5.00,2.80,0.00,0.00,1013.90,M
GRB,2010-10-23 08:53,5.00,2.20,0.00,0.00,1013.70,M
GRB,2010-10-23 09:53,5.00,2.80,0.00,0.00,1013.50,M
GRB,2010-10-23 10:53,5.00,3.30,0.00,0.00,1013.60,M
GRB,2010-10-23 11:53,7.20,4.40,0.00,0.00,1013.40,M
GRB,2010-10-23 12:53,7.20,5.00,0.00,0.00,1013.90,M
GRB,2010-10-23 13:53,8.30,5.60,0.00,0.00,1014.00,M
GRB,2010-10-23 14:53,10.00,7.20,160.00,6.00,1014.20,M
GRB,2010-10-23 15:43,11.00,9.00,0.00,0.00,M,1.27
GRB,2010-10-23 15:53,10.60,9.40,0.00,0.00,1013.50,1.52
GRB,2010-10-23 16:22,11.00,11.00,170.00,5.00,M,1.02
GRB,2010-10-23 16:28,12.00,11.00,160.00,6.00,M,1.27
GRB,2010-10-23 17:01,12.00,12.00,0.00,0.00,M,0.76
GRB,2010-10-23 17:09,12.00,12.00,0.00,0.00,M,1.02
GRB,2010-10-23 17:53,12.20,11.70,130.00,4.00,1012.50,4.57
GRB,2010-10-23 18:53,12.20,12.20,0.00,0.00,1011.50,3.81
GRB,2010-10-23 19:28,12.00,12.00,120.00,3.00,M,1.02
GRB,2010-10-23 19:53,12.80,12.20,120.00,3.00,1010.80,2.29
GRB,2010-10-23 20:35,13.00,12.00,180.00,3.00,M,0.51
GRB,2010-10-23 21:03,13.00,13.00,190.00,3.00,M,M
GRB,2010-10-23 21:53,12.80,12.80,0.00,0.00,1011.30,M
GRB,2010-10-23 22:42,13.00,12.00,10.00,4.00,M,M
GRB,2010-10-23 23:00,12.00,11.00,10.00,6.00,M,M
GRB,2010-10-23 23:53,10.00,9.40,360.00,6.00,1012.20,0.25
GRB,2010-10-24 00:53,10.00,9.40,0.00,0.00,1013.00,M
GRB,2010-10-24 01:14,10.00,9.00,0.00,0.00,M,M
GRB,2010-10-24 01:53,10.00,9.40,10.00,4.00,1012.80,M
GRB,2010-10-24 02:53,9.40,9.40,30.00,4.00,1012.90,M
GRB,2010-10-24 03:07,9.00,9.00,40.00,5.00,M,M
GRB,2010-10-24 03:53,9.40,9.40,20.00,7.00,1012.40,M
GRB,2010-10-24 04:53,9.40,9.40,40.00,8.00,1011.30,M
GRB,2010-10-24 06:04,9.00,9.00,70.00,3.00,M,M
GRB,2010-10-24 06:53,10.00,10.00,70.00,5.00,1011.70,M
GRB,2010-10-24 06:53,10.00,10.00,70.00,5.00,1011.70,0.25
GRB,2010-10-24 06:53,10.00,10.00,70.00,5.00,1011.70,M
GRB,2010-10-24 07:03,10.00,10.00,40.00,5.00,M,M
GRB,2010-10-24 07:33,10.00,10.00,30.00,8.00,M,0.51
GRB,2010-10-24 07:45,11.00,10.00,10.00,7.00,M,0.76
GRB,2010-10-24 07:53,10.60,10.00,30.00,6.00,1010.60,1.02
GRB,2010-10-24 08:15,11.00,11.00,40.00,3.00,M,0.51
GRB,2010-10-24 08:38,11.00,11.00,0.00,0.00,M,1.02
GRB,2010-10-24 08:53,10.60,10.60,40.00,3.00,1010.60,1.52
GRB,2010-10-24 09:17,11.00,11.00,40.00,3.00,M,M
GRB,2010-10-24 09:24,11.00,11.00,80.00,3.00,M,M
GRB,2010-10-24 09:59,11.00,11.00,350.00,3.00,M,M
GRB,2010-10-24 10:29,11.00,11.00,40.00,5.00,M,0.25
GRB,2010-10-24 11:01,11.00,11.00,40.00,7.00,M,M
GRB,2010-10-24 11:33,11.00,11.00,20.00,5.00,M,0.25
GRB,2010-10-24 11:53,11.10,11.10,50.00,6.00,1009.00,0.25
GRB,2010-10-24 12:07,11.00,11.00,50.00,8.00,M,0.25
GRB,2010-10-24 12:42,11.00,11.00,40.00,3.00,M,0.25
GRB,2010-10-24 12:53,11.70,11.10,60.00,4.00,1008.00,0.25
GRB,2010-10-24 13:10,12.00,11.00,50.00,5.00,M,0.25
GRB,2010-10-24 13:53,11.70,11.70,70.00,5.00,1007.60,0.25
GRB,2010-10-24 14:33,12.00,12.00,40.00,6.00,M,3.56
GRB,2010-10-24 14:50,13.00,13.00,50.00,6.00,M,6.35
GRB,2010-10-24 14:53,12.80,12.80,60.00,3.00,1006.60,6.35
GRB,2010-10-24 15:23,14.00,13.00,150.00,7.00,M,0.51
GRB,2010-10-24 15:26,14.00,13.00,160.00,7.00,M,0.76
GRB,2010-10-24 15:53,14.40,13.90,170.00,10.00,1005.70,1.02
GRB,2010-10-24 16:05,14.00,14.00,170.00,11.00,M,M
GRB,2010-10-24 16:13,14.00,14.00,170.00,8.00,M,0.25
