station,valid, tmpc ,  dwpc ,  drct ,  sknt ,  mslp ,  p01m
MSP,2010-10-23 00:53,15.60,3.30,150.00,6.00,1010.70,M
MSP,2010-10-23 01:53,14.40,3.30,150.00,4.00,1010.60,M
MSP,2010-10-23 02:53,13.30,2.80,130.00,5.00,1010.60,M
MSP,2010-10-23 03:53,12.80,3.30,110.00,5.00,1010.70,M
MSP,2010-10-23 04:53,11.70,3.90,110.00,6.00,1010.30,M
MSP,2010-10-23 05:53,12.20,3.90,120.00,5.00,1010.00,M
MSP,2010-10-23 06:53,12.20,4.40,130.00,3.00,1010.00,M
MSP,2010-10-23 07:53,11.70,5.60,130.00,4.00,1010.10,M
MSP,2010-10-23 08:53,12.80,6.10,130.00,4.00,1009.50,M
MSP,2010-10-23 09:53,12.20,6.70,120.00,4.00,1009.00,M
MSP,2010-10-23 10:53,12.20,6.70,40.00,4.00,1009.10,M
MSP,2010-10-23 11:53,12.20,7.20,80.00,5.00,1009.30,M
MSP,2010-10-23 12:53,12.80,8.30,100.00,3.00,1009.00,M
MSP,2010-10-23 13:53,13.30,8.90,110.00,4.00,1009.20,M
MSP,2010-10-23 14:53,13.30,9.40,70.00,6.00,1009.10,M
MSP,2010-10-23 15:53,14.40,10.60,110.00,4.00,1009.40,M
MSP,2010-10-23 16:53,16.70,11.70,60.00,6.00,1009.10,M
MSP,2010-10-23 17:53,17.20,12.20,140.00,3.00,1008.50,M
MSP,2010-10-23 18:53,18.30,12.20,70.00,5.00,1008.20,M
MSP,2010-10-23 19:15,18.00,12.00,50.00,5.00,M,M
MSP,2010-10-23 19:53,17.20,12.20,140.00,8.00,1008.50,M
MSP,2010-10-23 20:53,15.00,11.10,30.00,9.00,1007.90,0.25
MSP,2010-10-23 21:53,14.40,10.00,40.00,8.00,1008.40,M
MSP,2010-10-23 22:53,12.80,8.90,30.00,9.00,1008.70,M
MSP,2010-10-23 23:53,12.20,8.30,40.00,9.00,1009.10,M
MSP,2010-10-24 00:53,11.70,8.30,50.00,10.00,1009.10,M
MSP,2010-10-24 01:13,12.00,9.00,70.00,10.00,M,M
MSP,2010-10-24 01:45,12.00,9.00,60.00,8.00,M,M
MSP,2010-10-24 01:53,11.70,8.90,70.00,7.00,1009.00,M
MSP,2010-10-24 02:53,11.70,9.40,60.00,8.00,1008.60,M
MSP,2010-10-24 03:53,11.70,10.00,70.00,6.00,1008.20,M
MSP,2010-10-24 04:53,11.70,10.00,70.00,8.00,1007.40,M
MSP,2010-10-24 05:53,11.70,10.00,50.00,11.00,1006.10,M
MSP,2010-10-24 06:34,12.00,11.00,50.00,8.00,M,M
MSP,2010-10-24 06:53,12.20,10.60,230.00,14.00,1007.80,0.00
MSP,2010-10-24 06:56,12.00,11.00,M,6.00,M,0.25
MSP,2010-10-24 06:59,13.00,11.00,150.00,6.00,M,0.51
MSP,2010-10-24 07:19,12.00,11.00,50.00,8.00,M,9.14
MSP,2010-10-24 07:24,12.00,11.00,60.00,8.00,M,9.40
MSP,2010-10-24 07:46,12.00,11.00,50.00,10.00,M,11.94
MSP,2010-10-24 07:53,12.20,11.10,60.00,10.00,1005.50,11.94
MSP,2010-10-24 08:04,12.00,11.00,60.00,11.00,M,0.25
MSP,2010-10-24 08:11,12.00,11.00,60.00,11.00,M,0.25
MSP,2010-10-24 08:53,12.20,11.70,70.00,6.00,1004.40,1.02
MSP,2010-10-24 09:14,12.00,11.00,80.00,11.00,M,M
MSP,2010-10-24 09:28,12.00,11.00,80.00,10.00,M,M
MSP,2010-10-24 09:53,12.20,11.10,90.00,8.00,1004.20,M
MSP,2010-10-24 10:53,12.80,11.70,80.00,7.00,1003.90,M
MSP,2010-10-24 11:53,12.80,11.70,80.00,9.00,1003.30,M
MSP,2010-10-24 12:39,13.00,12.00,70.00,6.00,M,M
MSP,2010-10-24 12:53,13.30,12.20,60.00,5.00,1002.70,M
MSP,2010-10-24 13:53,13.30,12.20,70.00,4.00,1002.60,M
MSP,2010-10-24 14:35,14.00,13.00,120.00,5.00,M,M
MSP,2010-10-24 14:53,13.90,13.30,0.00,0.00,1002.50,M
MSP,2010-10-24 15:48,16.00,14.00,0.00,0.00,M,M
MSP,2010-10-24 15:53,15.60,13.90,0.00,0.00,1002.10,M
MSP,2010-10-24 16:43,16.00,14.00,220.00,3.00,M,M
MSP,2010-10-24 16:53,16.10,13.90,190.00,4.00,1001.90,M
MSP,2010-10-24 17:06,16.00,14.00,240.00,6.00,M,M
MSP,2010-10-24 17:26,15.00,13.00,230.00,7.00,M,M
MSP,2010-10-24 17:34,15.00,13.00,220.00,7.00,M,M
MSP,2010-10-24 17:53,15.00,13.30,220.00,6.00,1001.70,M
MSP,2010-10-24 18:14,14.00,13.00,240.00,7.00,M,M
MSP,2010-10-24 18:39,15.00,13.00,220.00,5.00,M,M
MSP,2010-10-24 18:53,15.00,12.80,220.00,7.00,1001.00,M
MSP,2010-10-24 19:15,15.00,13.00,230.00,8.00,M,M
MSP,2010-10-24 19:53,15.60,12.20,230.00,8.00,1000.60,M
MSP,2010-10-24 20:09,15.00,12.00,240.00,9.00,M,M
MSP,2010-10-24 20:53,13.90,11.70,250.00,6.00,1000.70,M
MSP,2010-10-24 21:01,14.00,12.00,250.00,9.00,M,M
MSP,2010-10-24 21:53,13.30,11.10,260.00,7.00,1001.00,M
MSP,2010-10-24 22:53,12.80,10.60,280.00,9.00,1001.00,M
MSP,2010-10-24 23:30,12.00,10.00,280.00,5.00,M,M
MSP,2010-10-24 23:53,12.20,10.60,260.00,5.00,1000.70,M
MSP,2010-10-25 00:53,12.20,10.00,260.00,3.00,1000.50,M
MSP,2010-10-25 01:53,12.20,10.00,270.00,4.00,1000.40,M
MSP,2010-10-25 02:53,12.20,10.00,280.00,5.00,1000.50,M
MSP,2010-10-25 03:53,11.70,10.00,280.00,5.00,1000.00,0.00
MSP,2010-10-25 04:53,11.70,10.00,0.00,0.00,999.30,0.00
MSP,2010-10-25 05:53,11.70,10.00,250.00,3.00,998.70,M
MSP,2010-10-25 06:11,12.00,10.00,0.00,0.00,M,M
MSP,2010-10-25 06:24,11.00,11.00,0.00,0.00,M,0.00
MSP,2010-10-25 06:37,11.00,11.00,0.00,0.00,M,0.00
MSP,2010-10-25 06:53,11.10,10.60,220.00,4.00,998.30,0.00
MSP,2010-10-25 07:53,11.70,10.60,240.00,4.00,998.10,0.00
MSP,2010-10-25 08:14,12.00,10.00,220.00,4.00,M,0.25
MSP,2010-10-25 08:22,12.00,11.00,230.00,3.00,M,0.25
MSP,2010-10-25 08:53,11.10,10.00,0.00,0.00,997.80,0.25
MSP,2010-10-25 09:53,11.10,10.00,170.00,6.00,997.40,M
MSP,2010-10-25 10:23,11.00,10.00,180.00,4.00,M,M
MSP,2010-10-25 10:53,11.10,10.00,130.00,6.00,996.80,M
MSP,2010-10-25 11:11,11.00,10.00,140.00,5.00,M,M
MSP,2010-10-25 11:31,11.00,10.00,120.00,8.00,M,M
MSP,2010-10-25 11:53,11.10,10.00,150.00,6.00,996.50,M
MSP,2010-10-25 12:44,11.00,11.00,140.00,5.00,M,M
MSP,2010-10-25 12:53,11.70,10.60,130.00,5.00,995.60,M
MSP,2010-10-25 13:43,12.00,11.00,150.00,7.00,M,M
MSP,2010-10-25 13:50,12.00,11.00,140.00,8.00,M,M
MSP,2010-10-25 13:53,12.20,11.10,140.00,7.00,995.50,M
MSP,2010-10-25 14:53,12.80,11.70,130.00,9.00,994.60,M
MSP,2010-10-25 15:00,13.00,12.00,130.00,8.00,M,M
MSP,2010-10-25 15:08,13.00,12.00,130.00,7.00,M,M
MSP,2010-10-25 15:32,14.00,12.00,140.00,8.00,M,M
MSP,2010-10-25 15:53,14.40,12.20,130.00,12.00,993.30,M
MSP,2010-10-25 16:09,15.00,12.00,130.00,12.00,M,M
MSP,2010-10-25 16:53,16.10,12.20,140.00,11.00,992.80,M
MSP,2010-10-25 17:53,15.60,12.20,150.00,13.00,992.10,0.00
MSP,2010-10-25 18:53,16.10,12.20,130.00,14.00,991.10,0.00
MSP,2010-10-25 19:53,16.10,12.20,140.00,13.00,990.90,M
MSP,2010-10-25 20:53,16.10,12.20,M,5.00,990.30,0.00
MSP,2010-10-25 21:53,15.60,12.80,140.00,10.00,989.90,0.00
MSP,2010-10-25 22:37,16.00,13.00,100.00,14.00,M,0.51
MSP,2010-10-25 22:53,15.00,12.80,90.00,13.00,987.90,0.51
MSP,2010-10-25 23:53,15.00,12.20,120.00,16.00,986.80,0.00
MSP,2010-10-26 00:53,15.00,12.20,110.00,16.00,986.20,M
MSP,2010-10-26 01:47,15.00,13.00,130.00,9.00,M,0.00
MSP,2010-10-26 01:53,14.40,12.80,110.00,9.00,985.40,0.76
