station,valid, tmpc ,  dwpc ,  drct ,  sknt ,  mslp ,  p01m
ORD,2010-10-23 00:51,13.30,-0.60,180.00,7.00,1017.20,M
ORD,2010-10-23 01:51,12.20,3.90,170.00,6.00,1016.50,0.51
ORD,2010-10-23 02:51,11.70,3.30,160.00,6.00,1016.20,M
ORD,2010-10-23 03:51,13.90,1.70,200.00,11.00,1016.20,M
ORD,2010-10-23 04:51,13.90,1.10,210.00,10.00,1016.00,M
ORD,2010-10-23 05:51,13.90,1.10,220.00,11.00,1015.80,M
ORD,2010-10-23 06:51,13.30,1.10,220.00,11.00,1015.80,M
ORD,2010-10-23 07:51,13.90,1.70,220.00,10.00,1015.80,M
ORD,2010-10-23 08:51,14.40,2.80,220.00,7.00,1015.40,M
ORD,2010-10-23 09:51,15.00,2.80,220.00,7.00,1015.20,M
ORD,2010-10-23 10:51,15.00,3.00,210.00,6.00,M,M
ORD,2010-10-23 11:51,15.60,3.30,210.00,8.00,1015.30,M
ORD,2010-10-23 12:51,16.10,3.30,210.00,8.00,1015.40,M
ORD,2010-10-23 13:51,16.70,3.30,220.00,14.00,1016.20,M
ORD,2010-10-23 14:51,15.00,7.20,240.00,12.00,1016.70,0.25
ORD,2010-10-23 15:35,13.00,11.00,220.00,13.00,M,0.51
ORD,2010-10-23 15:51,12.20,11.10,210.00,10.00,1017.10,1.52
ORD,2010-10-23 16:07,12.00,11.00,220.00,10.00,M,0.25
ORD,2010-10-23 16:51,13.30,11.70,170.00,12.00,1014.30,0.25
ORD,2010-10-23 17:51,15.60,12.20,200.00,17.00,1013.30,M
ORD,2010-10-23 18:51,16.70,12.80,210.00,22.00,1012.50,M
ORD,2010-10-23 19:51,18.30,12.80,220.00,18.00,1012.20,M
ORD,2010-10-23 20:51,17.80,11.70,230.00,16.00,1012.50,M
ORD,2010-10-23 21:51,18.30,11.10,210.00,7.00,1012.50,M
ORD,2010-10-23 22:51,18.30,11.10,200.00,7.00,1012.30,M
ORD,2010-10-23 23:51,17.80,9.40,200.00,8.00,1012.40,M
ORD,2010-10-24 00:51,17.20,9.40,M,3.00,1012.40,0.00
ORD,2010-10-24 01:51,16.10,11.10,170.00,4.00,1012.10,0.51
ORD,2010-10-24 02:51,17.80,11.10,30.00,5.00,1012.70,M
ORD,2010-10-24 03:51,16.10,12.80,110.00,5.00,1012.10,0.00
ORD,2010-10-24 04:51,16.70,10.60,160.00,7.00,1011.60,M
ORD,2010-10-24 05:51,17.80,7.80,200.00,14.00,1011.20,M
ORD,2010-10-24 06:51,17.80,7.80,200.00,12.00,1011.00,M
ORD,2010-10-24 07:51,17.20,7.80,270.00,7.00,1011.80,M
ORD,2010-10-24 08:51,15.60,8.30,250.00,5.00,1011.30,M
ORD,2010-10-24 09:51,15.00,9.40,150.00,5.00,1010.80,M
ORD,2010-10-24 10:51,13.30,10.60,140.00,7.00,1010.80,0.25
ORD,2010-10-24 11:51,13.90,8.90,130.00,6.00,1009.80,M
ORD,2010-10-24 12:51,13.90,8.30,160.00,7.00,1009.40,M
ORD,2010-10-24 13:51,16.00,8.00,190.00,10.00,M,M
ORD,2010-10-24 14:51,15.60,10.00,200.00,12.00,1008.80,0.00
ORD,2010-10-24 15:51,18.30,12.80,210.00,13.00,1008.20,0.00
ORD,2010-10-24 16:51,20.00,11.70,200.00,15.00,1007.70,M
ORD,2010-10-24 17:51,21.10,11.70,220.00,16.00,1006.60,M
ORD,2010-10-24 18:51,21.70,12.20,220.00,13.00,1005.80,M
ORD,2010-10-24 19:51,20.60,12.80,220.00,14.00,1005.60,M
ORD,2010-10-24 20:51,20.60,13.30,230.00,12.00,1005.40,0.00
ORD,2010-10-24 21:51,20.00,13.30,210.00,10.00,1005.00,M
ORD,2010-10-24 22:51,20.00,13.30,220.00,8.00,1004.50,M
ORD,2010-10-24 23:51,18.30,13.90,200.00,3.00,1004.40,M
ORD,2010-10-25 00:51,16.70,13.30,170.00,4.00,1003.50,M
ORD,2010-10-25 01:51,17.20,15.00,180.00,6.00,1003.10,0.00
ORD,2010-10-25 02:18,17.00,16.00,190.00,9.00,M,M
ORD,2010-10-25 02:34,17.00,16.00,180.00,10.00,M,0.25
ORD,2010-10-25 02:44,17.00,16.00,230.00,10.00,M,1.02
ORD,2010-10-25 02:51,16.70,15.00,220.00,7.00,1003.20,1.02
ORD,2010-10-25 03:15,16.00,15.00,240.00,5.00,M,0.00
ORD,2010-10-25 03:51,16.10,15.00,240.00,4.00,1002.30,0.00
ORD,2010-10-25 04:51,15.60,15.00,0.00,0.00,1002.20,M
ORD,2010-10-25 05:51,15.60,15.00,200.00,4.00,1002.40,M
ORD,2010-10-25 06:51,15.00,15.00,190.00,4.00,1002.00,M
ORD,2010-10-25 07:17,14.00,13.00,160.00,5.00,M,M
ORD,2010-10-25 07:51,14.00,14.00,180.00,6.00,M,M
ORD,2010-10-25 08:51,14.40,14.40,200.00,6.00,1000.90,M
ORD,2010-10-25 09:08,15.00,14.00,200.00,7.00,M,M
ORD,2010-10-25 09:51,15.00,14.40,200.00,6.00,1001.00,M
ORD,2010-10-25 10:51,15.00,13.90,210.00,6.00,1001.00,M
ORD,2010-10-25 11:51,13.90,13.30,200.00,6.00,1000.90,M
ORD,2010-10-25 12:51,13.90,13.30,200.00,8.00,1001.00,M
ORD,2010-10-25 13:51,15.00,13.90,210.00,7.00,1001.10,M
ORD,2010-10-25 14:51,16.70,13.30,210.00,9.00,1001.30,M
ORD,2010-10-25 15:51,18.90,12.80,220.00,11.00,1001.10,M
ORD,2010-10-25 16:51,20.60,12.80,220.00,11.00,1000.80,M
ORD,2010-10-25 17:51,21.10,11.70,210.00,13.00,1000.10,M
ORD,2010-10-25 18:51,21.70,13.30,200.00,14.00,999.40,M
ORD,2010-10-25 19:51,21.70,12.20,190.00,11.00,998.60,M
ORD,2010-10-25 20:51,21.70,12.20,200.00,11.00,998.10,M
ORD,2010-10-25 21:51,20.60,13.90,180.00,11.00,997.70,M
ORD,2010-10-25 22:51,20.00,15.00,160.00,9.00,997.10,M
ORD,2010-10-25 23:51,20.00,15.00,150.00,11.00,996.50,M
ORD,2010-10-26 00:51,20.00,15.00,160.00,14.00,996.40,M
ORD,2010-10-26 01:51,20.00,14.40,160.00,14.00,995.70,M
ORD,2010-10-26 02:51,20.00,14.40,170.00,15.00,994.90,M
ORD,2010-10-26 03:51,20.00,14.40,170.00,20.00,994.20,M
ORD,2010-10-26 04:07,20.00,15.00,170.00,19.00,M,M
ORD,2010-10-26 04:51,20.00,15.00,180.00,19.00,993.00,M
ORD,2010-10-26 05:51,20.60,15.60,170.00,17.00,991.20,M
ORD,2010-10-26 06:51,20.60,16.10,170.00,19.00,989.10,M
ORD,2010-10-26 07:51,21.10,15.60,180.00,23.00,987.60,M
ORD,2010-10-26 08:51,20.60,15.60,170.00,23.00,985.40,M
ORD,2010-10-26 09:51,21.10,16.10,180.00,29.00,984.10,M
ORD,2010-10-26 10:51,20.60,16.70,170.00,25.00,983.10,0.00
ORD,2010-10-26 11:21,20.00,17.00,180.00,23.00,M,0.76
ORD,2010-10-26 11:51,19.40,17.80,190.00,29.00,982.50,3.56
ORD,2010-10-26 12:03,19.00,18.00,190.00,25.00,M,0.76
ORD,2010-10-26 12:26,20.00,17.00,180.00,28.00,M,1.02
ORD,2010-10-26 12:38,19.00,18.00,180.00,27.00,M,2.03
