station,validUTC,levelcode,pressure_mb,height_m,tmpc,dwpc,drct,speed_kts,bearing,range_sm
KGRB,2010-10-23 00:00:00,9,989.0,210.0,11.0,0.0,195.0,5,0.0,0.0
KGRB,2010-10-23 00:00:00,4,1000.0,117.0,M,M,M,M,M,M
KGRB,2010-10-23 00:00:00,5,985.0,244.0,12.8,0.8,M,M,M,M
KGRB,2010-10-23 00:00:00,6,978.0,304.0,M,M,205.0,23,19.0,0.0
KGRB,2010-10-23 00:00:00,5,974.0,338.0,13.4,-1.6,M,M,M,M
KGRB,2010-10-23 00:00:00,5,962.0,442.0,12.8,-5.2,M,M,M,M
KGRB,2010-10-23 00:00:00,6,943.0,609.0,M,M,205.0,25,24.0,0.0
KGRB,2010-10-23 00:00:00,4,925.0,771.0,10.2,-6.8,215.0,27,26.0,0.0
KGRB,2010-10-23 00:00:00,5,910.0,906.0,9.2,-6.8,M,M,M,M
KGRB,2010-10-23 00:00:00,6,909.1,914.0,M,M,220.0,27,28.0,0.0
KGRB,2010-10-23 00:00:00,5,886.0,1127.0,11.6,-1.3,M,M,M,M
KGRB,2010-10-23 00:00:00,6,876.2,1219.0,M,M,245.0,32,36.0,1.0
KGRB,2010-10-23 00:00:00,5,853.0,1442.0,9.8,-4.2,M,M,M,M
KGRB,2010-10-23 00:00:00,4,850.0,1474.0,9.6,-3.3,260.0,33,45.0,1.0
KGRB,2010-10-23 00:00:00,5,816.0,1810.0,7.0,0.0,M,M,M,M
KGRB,2010-10-23 00:00:00,6,814.2,1828.0,M,M,265.0,30,54.0,2.0
KGRB,2010-10-23 00:00:00,5,813.0,1840.0,6.8,3.4,M,M,M,M
KGRB,2010-10-23 00:00:00,5,806.0,1911.0,6.4,3.9,M,M,M,M
KGRB,2010-10-23 00:00:00,5,801.0,1962.0,6.4,4.0,M,M,M,M
KGRB,2010-10-23 00:00:00,5,796.0,2013.0,6.6,-0.4,M,M,M,M
KGRB,2010-10-23 00:00:00,6,784.4,2133.0,M,M,270.0,35,60.0,2.0
KGRB,2010-10-23 00:00:00,5,773.0,2253.0,6.6,-6.4,M,M,M,M
KGRB,2010-10-23 00:00:00,5,768.0,2306.0,6.4,-5.6,M,M,M,M
KGRB,2010-10-23 00:00:00,6,755.7,2438.0,M,M,285.0,37,66.0,3.0
KGRB,2010-10-23 00:00:00,6,727.9,2743.0,M,M,290.0,36,72.0,3.0
KGRB,2010-10-23 00:00:00,4,700.0,3061.0,0.0,-4.8,300.0,35,78.0,4.0
KGRB,2010-10-23 00:00:00,5,697.0,3095.0,-0.1,-4.8,M,M,M,M
KGRB,2010-10-23 00:00:00,5,695.0,3118.0,-0.3,-6.3,M,M,M,M
KGRB,2010-10-23 00:00:00,5,692.0,3152.0,-0.1,-10.1,M,M,M,M
KGRB,2010-10-23 00:00:00,5,685.0,3233.0,-0.3,-8.3,M,M,M,M
KGRB,2010-10-23 00:00:00,5,673.0,3374.0,-0.7,-12.7,M,M,M,M
KGRB,2010-10-23 00:00:00,5,663.0,3493.0,-1.3,-13.3,M,M,M,M
KGRB,2010-10-23 00:00:00,6,649.4,3657.0,M,M,295.0,41,86.0,5.0
KGRB,2010-10-23 00:00:00,5,630.0,3896.0,-4.1,-16.1,M,M,M,M
KGRB,2010-10-23 00:00:00,5,622.0,3996.0,-4.9,-11.9,M,M,M,M
