station,validUTC,levelcode,pressure_mb,height_m,tmpc,dwpc,drct,speed_kts,bearing,range_sm
KILN,2010-10-23 00:00:00,9,983.0,317.0,12.8,-3.1,220.0,3,0.0,0.0
KILN,2010-10-23 00:00:00,4,1000.0,173.0,M,M,M,M,M,M
KILN,2010-10-23 00:00:00,5,979.0,351.0,14.8,-3.1,M,M,M,M
KILN,2010-10-23 00:00:00,5,971.0,420.0,15.0,-8.0,M,M,M,M
KILN,2010-10-23 00:00:00,6,949.8,609.0,M,M,250.0,11,54.0,0.0
KILN,2010-10-23 00:00:00,4,925.0,835.0,11.4,-9.6,250.0,11,63.0,0.0
KILN,2010-10-23 00:00:00,6,916.2,914.0,M,M,250.0,12,64.0,0.0
KILN,2010-10-23 00:00:00,6,882.9,1219.0,M,M,235.0,15,63.0,0.0
KILN,2010-10-23 00:00:00,5,869.0,1350.0,6.8,-10.2,M,M,M,M
KILN,2010-10-23 00:00:00,4,850.0,1532.0,6.0,-15.0,260.0,18,64.0,0.0
KILN,2010-10-23 00:00:00,5,833.0,1697.0,6.2,-23.8,M,M,M,M
KILN,2010-10-23 00:00:00,5,831.0,1717.0,6.4,-15.6,M,M,M,M
KILN,2010-10-23 00:00:00,5,830.0,1727.0,6.2,-4.8,M,M,M,M
KILN,2010-10-23 00:00:00,5,828.0,1747.0,6.2,-3.8,M,M,M,M
KILN,2010-10-23 00:00:00,6,819.8,1828.0,M,M,310.0,20,75.0,1.0
KILN,2010-10-23 00:00:00,5,798.0,2048.0,5.6,-4.4,M,M,M,M
KILN,2010-10-23 00:00:00,6,789.7,2133.0,M,M,320.0,26,90.0,1.0
KILN,2010-10-23 00:00:00,5,764.0,2401.0,3.6,-6.4,M,M,M,M
KILN,2010-10-23 00:00:00,6,760.5,2438.0,M,M,325.0,29,103.0,1.0
KILN,2010-10-23 00:00:00,5,755.0,2497.0,3.4,-9.6,M,M,M,M
KILN,2010-10-23 00:00:00,5,739.0,2670.0,2.4,-7.6,M,M,M,M
KILN,2010-10-23 00:00:00,6,732.3,2743.0,M,M,325.0,31,112.0,2.0
KILN,2010-10-23 00:00:00,5,716.0,2924.0,0.8,-9.2,M,M,M,M
KILN,2010-10-23 00:00:00,5,708.0,3014.0,0.2,-6.8,M,M,M,M
KILN,2010-10-23 00:00:00,5,702.0,3082.0,-0.1,-7.1,M,M,M,M
KILN,2010-10-23 00:00:00,4,700.0,3109.0,-0.1,-7.1,325.0,35,120.0,2.0
KILN,2010-10-23 00:00:00,5,682.0,3316.0,-0.9,-11.9,M,M,M,M
KILN,2010-10-23 00:00:00,5,677.0,3374.0,-0.9,-18.9,M,M,M,M
KILN,2010-10-23 00:00:00,6,653.3,3657.0,M,M,320.0,39,126.0,3.0
KILN,2010-10-23 00:00:00,5,649.0,3709.0,-2.3,-15.3,M,M,M,M
KILN,2010-10-23 00:00:00,5,641.0,3807.0,-2.7,-20.7,M,M,M,M
KILN,2010-10-23 00:00:00,5,639.0,3832.0,-2.9,-18.9,M,M,M,M
KILN,2010-10-23 00:00:00,5,637.0,3857.0,-3.1,-11.1,M,M,M,M
KILN,2010-10-23 00:00:00,5,627.0,3982.0,-3.9,-9.9,M,M,M,M
KILN,2010-10-23 00:00:00,5,622.0,4045.0,-4.1,-17.1,M,M,M,M
KILN,2010-10-23 00:00:00,5,615.0,4134.0,-4.3,-25.3,M,M,M,M
KILN,2010-10-23 00:00:00,5,612.0,4172.0,-4.5,-31.5,M,M,M,M
KILN,2010-10-23 00:00:00,5,606.0,4249.0,-5.3,-25.3,M,M,M,M
KILN,2010-10-23 00:00:00,6,604.6,4267.0,M,M,310.0,38,128.0,5.0
KILN,2010-10-23 00:00:00,5,602.0,4301.0,-5.5,-27.5,M,M,M,M
KILN,2010-10-23 00:00:00,5,600.0,4327.0,-5.9,-20.9,M,M,M,M
KILN,2010-10-23 00:00:00,5,584.0,4537.0,-7.5,-24.5,M,M,M,M
KILN,2010-10-23 00:00:00,5,567.0,4767.0,-6.5,-43.5,M,M,M,M
KILN,2010-10-23 00:00:00,5,560.0,4864.0,-6.9,-45.9,M,M,M,M
KILN,2010-10-23 00:00:00,6,559.1,4876.0,M,M,305.0,43,128.0,6.0
KILN,2010-10-23 00:00:00,5,516.0,5495.0,-10.9,-46.9,M,M,M,M
KILN,2010-10-23 00:00:00,4,500.0,5740.0,-12.9,-41.9,310.0,45,128.0,8.0
KILN,2010-10-23 00:00:00,6,476.7,6096.0,M,M,300.0,44,127.0,9.0
KILN,2010-10-23 00:00:00,6,439.3,6705.0,M,M,300.0,41,126.0,10.0
KILN,2010-10-23 00:00:00,5,436.0,6762.0,-22.3,-40.3,M,M,M,M
KILN,2010-10-23 00:00:00,4,400.0,7400.0,-25.5,-50.5,320.0,39,127.0,12.0
KILN,2010-10-23 00:00:00,5,395.0,7491.0,-25.9,-51.9,M,M,M,M
KILN,2010-10-23 00:00:00,6,387.9,7620.0,M,M,325.0,41,127.0,12.0
KILN,2010-10-23 00:00:00,6,355.8,8229.0,M,M,315.0,39,128.0,14.0
KILN,2010-10-23 00:00:00,5,332.0,8719.0,-36.3,-59.3,M,M,M,M
KILN,2010-10-23 00:00:00,6,312.2,9144.0,M,M,310.0,55,129.0,16.0
KILN,2010-10-23 00:00:00,4,300.0,9420.0,-41.5,-63.5,310.0,58,129.0,17.0
KILN,2010-10-23 00:00:00,5,295.0,9534.0,-42.1,-64.1,M,M,M,M
KILN,2010-10-23 00:00:00,6,260.3,10363.0,M,M,320.0,59,130.0,20.0
