station,validUTC,levelcode,pressure_mb,height_m,tmpc,dwpc,drct,speed_kts,bearing,range_sm
KILX,2010-10-23 00:00:00,9,996.0,178.0,17.6,1.6,180.0,8,0.0,0.0
KILX,2010-10-23 00:00:00,4,1000.0,143.0,M,M,M,M,M,M
KILX,2010-10-23 00:00:00,5,983.0,290.0,20.2,-0.7,M,M,M,M
KILX,2010-10-23 00:00:00,6,946.8,609.0,M,M,185.0,24,1.0,0.0
KILX,2010-10-23 00:00:00,5,932.0,743.0,16.4,-2.6,M,M,M,M
KILX,2010-10-23 00:00:00,4,925.0,808.0,16.4,-1.6,205.0,22,7.0,0.0
KILX,2010-10-23 00:00:00,6,913.5,914.0,M,M,200.0,23,9.0,0.0
KILX,2010-10-23 00:00:00,5,906.0,984.0,18.0,3.0,M,M,M,M
KILX,2010-10-23 00:00:00,6,881.3,1219.0,M,M,245.0,23,20.0,1.0
KILX,2010-10-23 00:00:00,4,850.0,1527.0,14.0,2.0,255.0,23,32.0,1.0
KILX,2010-10-23 00:00:00,6,819.8,1828.0,M,M,255.0,23,41.0,1.0
KILX,2010-10-23 00:00:00,5,791.0,2126.0,9.6,2.6,M,M,M,M
KILX,2010-10-23 00:00:00,6,790.3,2133.0,M,M,255.0,22,47.0,2.0
KILX,2010-10-23 00:00:00,6,761.6,2438.0,M,M,260.0,28,52.0,2.0
KILX,2010-10-23 00:00:00,5,760.0,2455.0,7.4,-0.5,M,M,M,M
KILX,2010-10-23 00:00:00,5,754.0,2520.0,6.8,0.8,M,M,M,M
KILX,2010-10-23 00:00:00,5,738.0,2695.0,5.4,1.6,M,M,M,M
KILX,2010-10-23 00:00:00,6,733.7,2743.0,M,M,260.0,22,56.0,2.0
KILX,2010-10-23 00:00:00,5,730.0,2784.0,4.6,3.4,M,M,M,M
KILX,2010-10-23 00:00:00,4,700.0,3131.0,1.8,0.9,270.0,25,60.0,3.0
KILX,2010-10-23 00:00:00,5,696.0,3177.0,1.6,0.8,M,M,M,M
KILX,2010-10-23 00:00:00,5,678.0,3387.0,0.8,-2.3,M,M,M,M
KILX,2010-10-23 00:00:00,5,661.0,3590.0,-0.9,-2.4,M,M,M,M
KILX,2010-10-23 00:00:00,6,655.4,3657.0,M,M,280.0,30,67.0,3.0
KILX,2010-10-23 00:00:00,5,635.0,3908.0,-3.5,-3.5,M,M,M,M
KILX,2010-10-23 00:00:00,5,621.0,4083.0,-5.3,-6.4,M,M,M,M
KILX,2010-10-23 00:00:00,5,609.0,4236.0,-5.7,-7.9,M,M,M,M
KILX,2010-10-23 00:00:00,6,606.6,4267.0,M,M,280.0,33,74.0,4.0
KILX,2010-10-23 00:00:00,5,604.0,4300.0,-5.5,-14.5,M,M,M,M
KILX,2010-10-23 00:00:00,5,600.0,4352.0,-5.7,-15.7,M,M,M,M
KILX,2010-10-23 00:00:00,5,583.0,4576.0,-7.3,-16.3,M,M,M,M
KILX,2010-10-23 00:00:00,5,574.0,4697.0,-8.1,-20.1,M,M,M,M
KILX,2010-10-23 00:00:00,5,568.0,4778.0,-8.9,-14.9,M,M,M,M
KILX,2010-10-23 00:00:00,5,561.0,4874.0,-9.5,-14.5,M,M,M,M
KILX,2010-10-23 00:00:00,6,560.9,4876.0,M,M,295.0,26,79.0,5.0
KILX,2010-10-23 00:00:00,5,554.0,4971.0,-9.9,-16.9,M,M,M,M
KILX,2010-10-23 00:00:00,5,545.0,5097.0,-10.3,-24.3,M,M,M,M
KILX,2010-10-23 00:00:00,6,539.1,5181.0,M,M,300.0,22,81.0,6.0
KILX,2010-10-23 00:00:00,5,535.0,5239.0,-11.3,-27.3,M,M,M,M
KILX,2010-10-23 00:00:00,5,523.0,5412.0,-11.5,-38.5,M,M,M,M
KILX,2010-10-23 00:00:00,6,518.0,5486.0,M,M,290.0,17,83.0,6.0
KILX,2010-10-23 00:00:00,5,509.0,5619.0,-12.5,-46.5,M,M,M,M
KILX,2010-10-23 00:00:00,4,500.0,5760.0,-13.7,-40.7,295.0,19,84.0,6.0
KILX,2010-10-23 00:00:00,5,482.0,6036.0,-16.1,-40.1,M,M,M,M
KILX,2010-10-23 00:00:00,6,478.2,6096.0,M,M,310.0,19,86.0,6.0
KILX,2010-10-23 00:00:00,5,450.0,6551.0,-16.5,-60.5,M,M,M,M
KILX,2010-10-23 00:00:00,6,440.8,6705.0,M,M,290.0,20,89.0,7.0
KILX,2010-10-23 00:00:00,6,423.2,7010.0,M,M,300.0,14,90.0,7.0
KILX,2010-10-23 00:00:00,4,400.0,7430.0,-24.1,-62.1,285.0,19,91.0,8.0
