station,validUTC,levelcode,pressure_mb,height_m,tmpc,dwpc,drct,speed_kts,bearing,range_sm
KMPX,2010-10-23 00:00:00,9,976.0,287.0,17.6,0.6,0.0,0,0.0,0.0
KMPX,2010-10-23 00:00:00,4,1000.0,79.0,M,M,M,M,M,M
KMPX,2010-10-23 00:00:00,5,972.0,322.0,19.0,2.0,M,M,M,M
KMPX,2010-10-23 00:00:00,5,966.0,376.0,19.0,2.0,M,M,M,M
KMPX,2010-10-23 00:00:00,6,940.0,609.0,M,M,205.0,19,101.0,0.0
KMPX,2010-10-23 00:00:00,4,925.0,747.0,16.2,1.2,205.0,20,66.0,0.0
KMPX,2010-10-23 00:00:00,6,906.8,914.0,M,M,220.0,21,51.0,0.0
KMPX,2010-10-23 00:00:00,5,905.0,931.0,15.0,3.0,M,M,M,M
KMPX,2010-10-23 00:00:00,5,889.0,1081.0,15.2,7.2,M,M,M,M
KMPX,2010-10-23 00:00:00,5,878.0,1186.0,15.4,6.3,M,M,M,M
KMPX,2010-10-23 00:00:00,6,874.6,1219.0,M,M,255.0,26,54.0,0.0
KMPX,2010-10-23 00:00:00,5,867.0,1292.0,14.8,5.8,M,M,M,M
KMPX,2010-10-23 00:00:00,4,850.0,1463.0,13.8,7.8,250.0,28,59.0,1.0
KMPX,2010-10-23 00:00:00,5,845.0,1512.0,13.4,8.4,M,M,M,M
KMPX,2010-10-23 00:00:00,5,825.0,1712.0,12.8,4.8,M,M,M,M
KMPX,2010-10-23 00:00:00,6,813.6,1828.0,M,M,250.0,31,63.0,1.0
KMPX,2010-10-23 00:00:00,5,806.0,1906.0,12.0,4.0,M,M,M,M
KMPX,2010-10-23 00:00:00,5,786.0,2115.0,10.4,2.3,M,M,M,M
KMPX,2010-10-23 00:00:00,6,784.3,2133.0,M,M,250.0,28,64.0,2.0
KMPX,2010-10-23 00:00:00,5,769.0,2296.0,9.6,-5.3,M,M,M,M
KMPX,2010-10-23 00:00:00,6,755.9,2438.0,M,M,255.0,28,65.0,2.0
KMPX,2010-10-23 00:00:00,6,728.5,2743.0,M,M,255.0,23,67.0,3.0
KMPX,2010-10-23 00:00:00,4,700.0,3072.0,3.0,-13.0,260.0,24,68.0,3.0
KMPX,2010-10-23 00:00:00,5,684.0,3258.0,1.4,-12.6,M,M,M,M
KMPX,2010-10-23 00:00:00,5,660.0,3543.0,-0.3,-14.3,M,M,M,M
KMPX,2010-10-23 00:00:00,5,654.0,3616.0,-0.5,-20.5,M,M,M,M
KMPX,2010-10-23 00:00:00,6,650.6,3657.0,M,M,270.0,29,71.0,4.0
KMPX,2010-10-23 00:00:00,5,637.0,3826.0,-1.9,-24.9,M,M,M,M
KMPX,2010-10-23 00:00:00,5,623.0,4001.0,-3.3,-19.3,M,M,M,M
KMPX,2010-10-23 00:00:00,5,619.0,4052.0,-3.1,-29.1,M,M,M,M
KMPX,2010-10-23 00:00:00,5,614.0,4116.0,-3.3,-28.3,M,M,M,M
KMPX,2010-10-23 00:00:00,6,602.3,4267.0,M,M,290.0,25,76.0,5.0
KMPX,2010-10-23 00:00:00,5,600.0,4297.0,-4.3,-20.3,M,M,M,M
KMPX,2010-10-23 00:00:00,5,586.0,4482.0,-5.7,-21.7,M,M,M,M
KMPX,2010-10-23 00:00:00,6,579.3,4572.0,M,M,285.0,23,78.0,5.0
KMPX,2010-10-23 00:00:00,5,579.0,4576.0,-5.9,-26.9,M,M,M,M
KMPX,2010-10-23 00:00:00,5,563.0,4794.0,-6.7,-28.7,M,M,M,M
KMPX,2010-10-23 00:00:00,6,557.0,4876.0,M,M,300.0,22,80.0,5.0
KMPX,2010-10-23 00:00:00,6,535.4,5181.0,M,M,295.0,22,82.0,6.0
KMPX,2010-10-23 00:00:00,5,505.0,5630.0,-13.1,-33.1,M,M,M,M
KMPX,2010-10-23 00:00:00,4,500.0,5710.0,-13.5,-31.5,315.0,16,85.0,6.0
KMPX,2010-10-23 00:00:00,6,494.7,5791.0,M,M,320.0,18,86.0,6.0
KMPX,2010-10-23 00:00:00,5,478.0,6049.0,-16.7,-29.7,M,M,M,M
KMPX,2010-10-23 00:00:00,6,475.0,6096.0,M,M,315.0,17,88.0,6.0
KMPX,2010-10-23 00:00:00,6,456.0,6400.0,M,M,315.0,16,89.0,7.0
KMPX,2010-10-23 00:00:00,5,455.0,6416.0,-19.7,-35.7,M,M,M,M
KMPX,2010-10-23 00:00:00,5,444.0,6597.0,-19.3,-41.3,M,M,M,M
KMPX,2010-10-23 00:00:00,6,437.6,6705.0,M,M,275.0,31,91.0,7.0
KMPX,2010-10-23 00:00:00,5,421.0,6990.0,-21.5,-44.5,M,M,M,M
KMPX,2010-10-23 00:00:00,4,400.0,7370.0,-24.7,-46.7,270.0,33,91.0,8.0
KMPX,2010-10-23 00:00:00,6,386.3,7620.0,M,M,270.0,35,91.0,9.0
KMPX,2010-10-23 00:00:00,5,361.0,8104.0,-31.3,-52.3,M,M,M,M
KMPX,2010-10-23 00:00:00,6,310.8,9144.0,M,M,280.0,39,92.0,12.0
KMPX,2010-10-23 00:00:00,4,300.0,9390.0,-41.5,-59.5,280.0,41,92.0,12.0
KMPX,2010-10-23 00:00:00,6,284.0,9753.0,M,M,275.0,44,92.0,13.0
KMPX,2010-10-23 00:00:00,5,254.0,10493.0,-51.1,-65.1,M,M,M,M
KMPX,2010-10-23 00:00:00,4,250.0,10600.0,-51.9,-65.9,280.0,43,93.0,15.0
KMPX,2010-10-23 00:00:00,6,235.9,10972.0,M,M,285.0,42,93.0,16.0
KMPX,2010-10-23 00:00:00,5,229.0,11161.0,-56.3,-69.3,M,M,M,M
KMPX,2010-10-23 00:00:00,4,200.0,12010.0,-61.3,-72.3,270.0,46,94.0,19.0
KMPX,2010-10-23 00:00:00,5,196.0,12135.0,-62.5,-73.5,M,M,M,M
KMPX,2010-10-23 00:00:00,6,184.8,12496.0,M,M,270.0,49,93.0,20.0
KMPX,2010-10-23 00:00:00,5,179.0,12692.0,-62.5,-73.5,M,M,M,M
KMPX,2010-10-23 00:00:00,5,173.0,12902.0,-62.9,-73.9,M,M,M,M
KMPX,2010-10-23 00:00:00,5,165.0,13194.0,-61.7,-72.7,M,M,M,M
KMPX,2010-10-23 00:00:00,5,160.0,13383.0,-63.3,-74.3,M,M,M,M
KMPX,2010-10-23 00:00:00,5,153.0,13657.0,-62.9,-73.9,M,M,M,M
KMPX,2010-10-23 00:00:00,6,151.6,13716.0,M,M,280.0,38,94.0,23.0
KMPX,2010-10-23 00:00:00,4,150.0,13780.0,-61.7,-72.7,280.0,38,94.0,23.0
KMPX,2010-10-23 00:00:00,5,149.0,13821.0,-61.1,-73.1,M,M,M,M
KMPX,2010-10-23 00:00:00,5,142.0,14118.0,-61.9,-73.9,M,M,M,M
KMPX,2010-10-23 00:00:00,5,140.0,14206.0,-61.3,-73.3,M,M,M,M
KMPX,2010-10-23 00:00:00,6,137.3,14326.0,M,M,310.0,29,94.0,24.0
KMPX,2010-10-23 00:00:00,5,134.0,14476.0,-62.5,-73.5,M,M,M,M
KMPX,2010-10-23 00:00:00,5,131.0,14615.0,-62.5,-73.5,M,M,M,M
KMPX,2010-10-23 00:00:00,5,130.0,14662.0,-61.3,-73.3,M,M,M,M
KMPX,2010-10-23 00:00:00,6,124.4,14935.0,M,M,270.0,38,95.0,25.0
KMPX,2010-10-23 00:00:00,5,123.0,15003.0,-63.1,-74.1,M,M,M,M
KMPX,2010-10-23 00:00:00,6,118.3,15240.0,M,M,290.0,33,95.0,26.0
KMPX,2010-10-23 00:00:00,5,118.0,15258.0,-62.5,-73.5,M,M,M,M
KMPX,2010-10-23 00:00:00,5,110.0,15688.0,-64.7,-75.7,M,M,M,M
KMPX,2010-10-23 00:00:00,5,106.0,15914.0,-63.1,-74.1,M,M,M,M
KMPX,2010-10-23 00:00:00,5,103.0,16090.0,-64.1,-75.1,M,M,M,M
KMPX,2010-10-23 00:00:00,5,101.0,16210.0,-62.7,-73.7,M,M,M,M
KMPX,2010-10-23 00:00:00,4,100.0,16280.0,-62.7,-73.7,310.0,26,97.0,27.0
KMPX,2010-10-23 00:00:00,5,84.4,17321.0,-63.1,-75.1,M,M,M,M
KMPX,2010-10-23 00:00:00,5,81.1,17567.0,-61.1,-73.1,M,M,M,M
KMPX,2010-10-23 00:00:00,6,75.8,17983.0,M,M,300.0,26,99.0,29.0
KMPX,2010-10-23 00:00:00,5,75.5,18008.0,-63.5,-74.5,M,M,M,M
KMPX,2010-10-23 00:00:00,6,72.2,18288.0,M,M,315.0,20,99.0,30.0
KMPX,2010-10-23 00:00:00,4,70.0,18480.0,-62.1,-74.1,315.0,20,99.0,30.0
KMPX,2010-10-23 00:00:00,5,66.3,18815.0,-61.3,-73.3,M,M,M,M
KMPX,2010-10-23 00:00:00,6,65.4,18897.0,M,M,310.0,11,100.0,30.0
KMPX,2010-10-23 00:00:00,6,62.3,19202.0,M,M,315.0,13,100.0,30.0
KMPX,2010-10-23 00:00:00,6,59.2,19507.0,M,M,260.0,22,100.0,31.0
KMPX,2010-10-23 00:00:00,6,56.4,19812.0,M,M,280.0,15,100.0,31.0
KMPX,2010-10-23 00:00:00,5,54.9,19976.0,-64.1,-76.1,M,M,M,M
KMPX,2010-10-23 00:00:00,6,51.1,20421.0,M,M,260.0,13,100.0,31.0
KMPX,2010-10-23 00:00:00,4,50.0,20550.0,-62.9,-74.9,280.0,14,100.0,31.0
KMPX,2010-10-23 00:00:00,5,49.4,20624.0,-63.1,-75.1,M,M,M,M
KMPX,2010-10-23 00:00:00,6,48.6,20726.0,M,M,295.0,20,100.0,32.0
KMPX,2010-10-23 00:00:00,5,46.5,20993.0,-64.9,-75.9,M,M,M,M
KMPX,2010-10-23 00:00:00,6,44.0,21336.0,M,M,340.0,16,100.0,32.0
KMPX,2010-10-23 00:00:00,5,43.9,21344.0,-63.1,-75.1,M,M,M,M
KMPX,2010-10-23 00:00:00,5,42.7,21515.0,-60.5,-72.5,M,M,M,M
KMPX,2010-10-23 00:00:00,6,41.9,21640.0,M,M,330.0,23,101.0,32.0
KMPX,2010-10-23 00:00:00,6,39.9,21945.0,M,M,340.0,11,101.0,32.0
KMPX,2010-10-23 00:00:00,6,38.0,22250.0,M,M,290.0,5,101.0,33.0
KMPX,2010-10-23 00:00:00,5,36.9,22426.0,-58.3,-71.3,M,M,M,M
KMPX,2010-10-23 00:00:00,5,36.2,22547.0,-56.3,-70.3,M,M,M,M
KMPX,2010-10-23 00:00:00,6,36.2,22555.0,M,M,230.0,30,101.0,33.0
KMPX,2010-10-23 00:00:00,6,34.4,22860.0,M,M,245.0,39,101.0,33.0
KMPX,2010-10-23 00:00:00,5,32.2,23281.0,-60.9,-73.9,M,M,M,M
KMPX,2010-10-23 00:00:00,4,30.0,23730.0,-59.7,-72.7,300.0,30,100.0,35.0
KMPX,2010-10-23 00:00:00,6,29.8,23774.0,M,M,310.0,25,100.0,35.0
KMPX,2010-10-23 00:00:00,5,28.5,24050.0,-58.7,-71.7,M,M,M,M
KMPX,2010-10-23 00:00:00,6,28.4,24079.0,M,M,280.0,18,100.0,35.0
KMPX,2010-10-23 00:00:00,5,27.5,24273.0,-59.9,-72.9,M,M,M,M
KMPX,2010-10-23 00:00:00,6,27.0,24384.0,M,M,280.0,22,100.0,36.0
KMPX,2010-10-23 00:00:00,6,25.7,24688.0,M,M,280.0,17,100.0,36.0
KMPX,2010-10-23 00:00:00,5,25.6,24723.0,-56.3,-70.3,M,M,M,M
KMPX,2010-10-23 00:00:00,5,23.8,25185.0,-55.9,-69.9,M,M,M,M
KMPX,2010-10-23 00:00:00,6,23.4,25298.0,M,M,255.0,15,100.0,37.0
KMPX,2010-10-23 00:00:00,5,22.6,25516.0,-51.9,-67.9,M,M,M,M
KMPX,2010-10-23 00:00:00,5,21.7,25779.0,-51.9,-67.9,M,M,M,M
KMPX,2010-10-23 00:00:00,6,21.3,25908.0,M,M,250.0,42,99.0,37.0
KMPX,2010-10-23 00:00:00,6,20.3,26212.0,M,M,265.0,32,99.0,38.0
KMPX,2010-10-23 00:00:00,5,20.2,26238.0,-55.5,-70.5,M,M,M,M
KMPX,2010-10-23 00:00:00,4,20.0,26310.0,-55.5,-70.5,265.0,33,99.0,38.0
KMPX,2010-10-23 00:00:00,5,18.6,26772.0,-54.7,-69.7,M,M,M,M
KMPX,2010-10-23 00:00:00,6,18.5,26822.0,M,M,255.0,22,99.0,39.0
KMPX,2010-10-23 00:00:00,6,17.6,27127.0,M,M,240.0,29,98.0,39.0
KMPX,2010-10-23 00:00:00,5,17.2,27268.0,-57.1,-72.1,M,M,M,M
KMPX,2010-10-23 00:00:00,6,16.8,27432.0,M,M,250.0,30,98.0,40.0
KMPX,2010-10-23 00:00:00,5,16.0,27729.0,-52.9,-68.9,M,M,M,M
KMPX,2010-10-23 00:00:00,6,15.2,28041.0,M,M,255.0,44,97.0,41.0
KMPX,2010-10-23 00:00:00,5,13.9,28635.0,-52.3,-68.3,M,M,M,M
KMPX,2010-10-23 00:00:00,6,13.2,28956.0,M,M,270.0,42,96.0,43.0
KMPX,2010-10-23 00:00:00,5,12.5,29317.0,-54.3,-70.3,M,M,M,M
KMPX,2010-10-23 00:00:00,6,12.0,29565.0,M,M,260.0,36,96.0,44.0
KMPX,2010-10-23 00:00:00,5,11.7,29742.0,-52.1,-69.1,M,M,M,M
KMPX,2010-10-23 00:00:00,5,10.7,30318.0,-52.7,-69.7,M,M,M,M
KMPX,2010-10-23 00:00:00,6,10.4,30480.0,M,M,255.0,49,95.0,46.0
KMPX,2010-10-23 00:00:00,5,10.1,30693.0,-48.9,-66.9,M,M,M,M
KMPX,2010-10-23 00:00:00,4,10.0,30770.0,-48.9,-66.9,260.0,52,95.0,47.0
KMPX,2010-10-23 00:00:00,6,9.9,30784.0,M,M,255.0,59,95.0,47.0
KMPX,2010-10-23 00:00:00,5,9.6,31037.0,-50.1,-68.1,M,M,M,M
KMPX,2010-10-23 12:00:00,9,975.0,287.0,12.2,9.2,0.0,0,0.0,0.0
KMPX,2010-10-23 12:00:00,4,1000.0,74.0,M,M,M,M,M,M
KMPX,2010-10-23 12:00:00,5,974.0,296.0,12.4,6.3,M,M,M,M
KMPX,2010-10-23 12:00:00,5,970.0,330.0,13.6,8.6,M,M,M,M
KMPX,2010-10-23 12:00:00,5,958.0,434.0,14.8,11.4,M,M,M,M
KMPX,2010-10-23 12:00:00,5,942.0,576.0,16.0,12.0,M,M,M,M
KMPX,2010-10-23 12:00:00,6,938.5,609.0,M,M,250.0,18,124.0,0.0
KMPX,2010-10-23 12:00:00,4,925.0,736.0,15.2,10.8,260.0,15,104.0,0.0
KMPX,2010-10-23 12:00:00,6,905.6,914.0,M,M,265.0,10,96.0,0.0
KMPX,2010-10-23 12:00:00,5,892.0,1041.0,14.2,10.0,M,M,M,M
KMPX,2010-10-23 12:00:00,6,873.5,1219.0,M,M,235.0,4,90.0,0.0
KMPX,2010-10-23 12:00:00,4,850.0,1450.0,11.4,8.2,215.0,8,84.0,0.0
KMPX,2010-10-23 12:00:00,6,811.9,1828.0,M,M,210.0,8,72.0,0.0
KMPX,2010-10-23 12:00:00,5,797.0,1981.0,7.6,6.2,M,M,M,M
KMPX,2010-10-23 12:00:00,6,782.3,2133.0,M,M,220.0,14,64.0,0.0
KMPX,2010-10-23 12:00:00,5,781.0,2147.0,7.2,4.1,M,M,M,M
KMPX,2010-10-23 12:00:00,5,764.0,2327.0,6.2,3.9,M,M,M,M
KMPX,2010-10-23 12:00:00,6,753.7,2438.0,M,M,215.0,12,58.0,1.0
KMPX,2010-10-23 12:00:00,5,742.0,2565.0,4.6,1.3,M,M,M,M
KMPX,2010-10-23 12:00:00,6,726.1,2743.0,M,M,190.0,6,54.0,1.0
KMPX,2010-10-23 12:00:00,4,700.0,3045.0,1.4,-1.2,195.0,12,49.0,1.0
KMPX,2010-10-23 12:00:00,6,699.7,3048.0,M,M,195.0,11,49.0,1.0
KMPX,2010-10-23 12:00:00,5,681.0,3265.0,0.0,-1.7,M,M,M,M
KMPX,2010-10-23 12:00:00,6,673.6,3352.0,M,M,175.0,13,43.0,1.0
KMPX,2010-10-23 12:00:00,5,666.0,3442.0,-0.5,-1.7,M,M,M,M
KMPX,2010-10-23 12:00:00,6,648.2,3657.0,M,M,195.0,14,38.0,1.0
KMPX,2010-10-23 12:00:00,5,627.0,3920.0,-3.1,-5.7,M,M,M,M
KMPX,2010-10-23 12:00:00,6,623.7,3962.0,M,M,195.0,21,34.0,1.0
KMPX,2010-10-23 12:00:00,5,603.0,4227.0,-5.3,-6.6,M,M,M,M
KMPX,2010-10-23 12:00:00,6,599.9,4267.0,M,M,200.0,19,32.0,2.0
KMPX,2010-10-23 12:00:00,5,591.0,4384.0,-5.7,-8.7,M,M,M,M
KMPX,2010-10-23 12:00:00,6,554.6,4876.0,M,M,185.0,16,27.0,2.0
KMPX,2010-10-23 12:00:00,5,543.0,5039.0,-11.3,-13.7,M,M,M,M
KMPX,2010-10-23 12:00:00,5,536.0,5138.0,-11.7,-15.6,M,M,M,M
KMPX,2010-10-23 12:00:00,5,535.0,5152.0,-11.5,-15.8,M,M,M,M
KMPX,2010-10-23 12:00:00,5,533.0,5181.0,-10.9,-20.9,M,M,M,M
KMPX,2010-10-23 12:00:00,6,533.0,5181.0,M,M,185.0,16,25.0,2.0
KMPX,2010-10-23 12:00:00,5,532.0,5195.0,-10.7,-21.7,M,M,M,M
KMPX,2010-10-23 12:00:00,5,518.0,5399.0,-11.7,-33.7,M,M,M,M
KMPX,2010-10-23 12:00:00,4,500.0,5680.0,-13.5,-35.5,220.0,13,25.0,3.0
KMPX,2010-10-23 12:00:00,6,492.7,5791.0,M,M,220.0,13,25.0,3.0
KMPX,2010-10-23 12:00:00,5,489.0,5848.0,-14.5,-35.5,M,M,M,M
KMPX,2010-10-23 12:00:00,6,473.1,6096.0,M,M,225.0,22,26.0,3.0
KMPX,2010-10-23 12:00:00,6,454.2,6400.0,M,M,210.0,27,27.0,4.0
KMPX,2010-10-23 12:00:00,5,445.0,6554.0,-19.3,-39.3,M,M,M,M
KMPX,2010-10-23 12:00:00,4,400.0,7340.0,-26.5,-44.5,235.0,28,31.0,5.0
KMPX,2010-10-23 12:00:00,5,395.0,7430.0,-27.5,-45.5,M,M,M,M
KMPX,2010-10-23 12:00:00,5,387.0,7577.0,-28.1,-45.1,M,M,M,M
KMPX,2010-10-23 12:00:00,6,384.7,7620.0,M,M,235.0,31,33.0,5.0
KMPX,2010-10-23 12:00:00,5,378.0,7745.0,-29.1,-39.1,M,M,M,M
KMPX,2010-10-23 12:00:00,5,369.0,7917.0,-29.5,-41.5,M,M,M,M
KMPX,2010-10-23 12:00:00,5,361.0,8073.0,-30.9,-40.9,M,M,M,M
KMPX,2010-10-23 12:00:00,5,350.0,8291.0,-32.7,-37.2,M,M,M,M
KMPX,2010-10-23 12:00:00,5,336.0,8576.0,-35.1,-42.1,M,M,M,M
KMPX,2010-10-23 12:00:00,6,309.5,9144.0,M,M,230.0,53,40.0,9.0
KMPX,2010-10-23 12:00:00,4,300.0,9360.0,-41.7,-48.7,230.0,55,40.0,10.0
KMPX,2010-10-23 12:00:00,5,283.0,9752.0,-44.5,-50.5,M,M,M,M
KMPX,2010-10-23 12:00:00,6,283.0,9753.0,M,M,225.0,62,41.0,11.0
KMPX,2010-10-23 12:00:00,4,250.0,10560.0,-52.1,-58.1,220.0,67,41.0,14.0
KMPX,2010-10-23 12:00:00,6,216.0,11483.0,M,M,220.0,69,41.0,17.0
KMPX,2010-10-23 12:00:00,6,212.6,11582.0,M,M,220.0,69,41.0,18.0
KMPX,2010-10-23 12:00:00,5,209.0,11690.0,-59.5,-65.5,M,M,M,M
KMPX,2010-10-23 12:00:00,5,202.0,11902.0,-60.5,-66.5,M,M,M,M
KMPX,2010-10-23 12:00:00,4,200.0,11970.0,-59.5,-65.5,235.0,50,41.0,19.0
KMPX,2010-10-23 12:00:00,5,199.0,12001.0,-59.3,-65.3,M,M,M,M
KMPX,2010-10-23 12:00:00,5,196.0,12096.0,-59.7,-65.7,M,M,M,M
KMPX,2010-10-23 12:00:00,5,194.0,12160.0,-59.1,-65.1,M,M,M,M
KMPX,2010-10-23 12:00:00,6,193.0,12192.0,M,M,245.0,44,42.0,19.0
KMPX,2010-10-23 12:00:00,5,189.0,12323.0,-59.7,-65.7,M,M,M,M
KMPX,2010-10-23 12:00:00,6,183.8,12496.0,M,M,230.0,39,42.0,20.0
KMPX,2010-10-23 12:00:00,5,182.0,12559.0,-57.5,-64.5,M,M,M,M
KMPX,2010-10-23 12:00:00,5,179.0,12664.0,-57.7,-64.7,M,M,M,M
KMPX,2010-10-23 12:00:00,5,176.0,12771.0,-56.3,-63.3,M,M,M,M
KMPX,2010-10-23 12:00:00,5,172.0,12916.0,-57.1,-64.1,M,M,M,M
KMPX,2010-10-23 12:00:00,6,166.9,13106.0,M,M,255.0,32,43.0,21.0
KMPX,2010-10-23 12:00:00,5,166.0,13140.0,-56.7,-63.7,M,M,M,M
KMPX,2010-10-23 12:00:00,5,155.0,13571.0,-59.5,-67.5,M,M,M,M
KMPX,2010-10-23 12:00:00,5,152.0,13693.0,-58.7,-66.7,M,M,M,M
KMPX,2010-10-23 12:00:00,6,151.5,13716.0,M,M,245.0,35,44.0,22.0
KMPX,2010-10-23 12:00:00,4,150.0,13780.0,-59.3,-67.3,245.0,35,45.0,22.0
KMPX,2010-10-23 12:00:00,6,137.4,14326.0,M,M,260.0,27,46.0,23.0
KMPX,2010-10-23 12:00:00,5,134.0,14481.0,-61.3,-69.3,M,M,M,M
KMPX,2010-10-23 12:00:00,5,126.0,14862.0,-61.3,-69.3,M,M,M,M
KMPX,2010-10-23 12:00:00,6,118.5,15240.0,M,M,255.0,31,47.0,24.0
KMPX,2010-10-23 12:00:00,5,117.0,15319.0,-62.5,-70.5,M,M,M,M
KMPX,2010-10-23 12:00:00,5,110.0,15699.0,-61.5,-69.5,M,M,M,M
KMPX,2010-10-23 12:00:00,6,107.4,15849.0,M,M,285.0,24,49.0,25.0
KMPX,2010-10-23 12:00:00,5,106.0,15927.0,-63.3,-71.3,M,M,M,M
KMPX,2010-10-23 12:00:00,4,100.0,16290.0,-63.5,-71.5,285.0,22,50.0,25.0
KMPX,2010-10-23 12:00:00,5,90.6,16900.0,-59.7,-67.7,M,M,M,M
KMPX,2010-10-23 12:00:00,6,72.4,18288.0,M,M,275.0,21,54.0,27.0
KMPX,2010-10-23 12:00:00,5,70.8,18423.0,-63.7,-71.7,M,M,M,M
